City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
245,Umarkot,PK,2022-05-26 02:33:33,25.3616,69.7362,86.11,65,17,19.42
246,Yenagoa,NG,2022-05-26 02:33:33,4.9247,6.2642,73.42,98,96,3.71
247,Grand Gaube,MU,2022-05-26 02:33:34,-20.0064,57.6608,70.38,78,9,1.99
248,Roma,US,2022-05-26 02:33:34,43.2128,-75.4557,67.08,67,0,5.75
249,Mount Gambier,AU,2022-05-26 02:33:34,-37.8333,140.7667,57.11,94,75,9.22
250,Flinders,AU,2022-05-26 02:33:35,-34.5833,150.8552,68.18,73,78,5.99
251,Port Antonio,JM,2022-05-26 02:33:35,18.18,-76.4612,82.31,84,25,6.64
252,Fortuna,US,2022-05-26 02:30:45,40.5982,-124.1573,57.9,88,100,12.66
253,Salobrena,ES,2022-05-26 02:33:35,36.7428,-3.5872,63.23,72,50,2.15
254,Casma,CL,2022-05-26 02:33:36,-41.0082,-73.1244,36.68,96,1,3.27
255,Lasa,IT,2022-05-26 02:33:36,46.6166,10.7002,54.48,92,46,2.73
256,Marsh Harbour,BS,2022-05-26 02:33:37,26.5412,-77.0636,77.88,73,34,15.97
257,Tual,ID,2022-05-26 02:33:37,-5.6667,132.75,82.96,75,48,12.17
258,Aykhal,RU,2022-05-26 02:33:37,66.0,111.5,32.41,70,100,15.39
259,Meulaboh,ID,2022-05-26 02:33:38,4.1363,96.1285,84.42,64,73,6.49
260,Rauma,FI,2022-05-26 02:33:38,61.1272,21.5113,48.24,93,56,4.88
261,Faanui,PF,2022-05-26 02:33:38,-16.4833,-151.75,81.0,69,8,13.98
262,Benjamin Aceval,PY,2022-05-26 02:33:39,-24.9667,-57.5667,77.14,76,29,5.37
263,Sisimiut,GL,2022-05-26 02:33:39,66.9395,-53.6735,34.11,76,79,5.37
264,Santa Catarina De Tepehuanes,MX,2022-05-26 02:33:39,25.35,-105.7333,65.19,36,0,5.32
265,Salinopolis,BR,2022-05-26 02:33:40,-0.6136,-47.3561,76.17,90,52,9.15
266,Payyannur,IN,2022-05-26 02:33:40,12.1,75.2,83.82,79,37,2.08
267,Conceicao Do Araguaia,BR,2022-05-26 02:34:41,-8.2578,-49.2647,71.49,61,6,2.68
268,Kargil,IN,2022-05-26 02:34:41,34.5667,76.1,52.99,33,10,3.83
269,Haverfordwest,GB,2022-05-26 02:34:42,51.8017,-4.9691,57.54,93,32,5.99
270,Constitucion,CL,2022-05-26 02:30:56,-35.3333,-72.4167,48.99,74,95,6.64
271,Port Hope,US,2022-05-26 02:30:09,43.9408,-82.7127,63.21,31,100,14.97
272,Cap-Aux-Meules,CA,2022-05-26 02:34:42,47.3821,-61.8597,51.85,54,75,19.57
273,Shenjiamen,CN,2022-05-26 02:34:43,29.9576,122.298,66.29,79,100,4.81
274,Georgetown,MY,2022-05-26 02:34:43,5.4112,100.3354,87.73,47,20,3.44
275,Chumikan,RU,2022-05-26 02:34:43,54.7183,135.315,40.5,94,100,4.16
276,Paamiut,GL,2022-05-26 02:34:44,61.994,-49.6678,34.43,74,62,10.96
277,Hutchinson,US,2022-05-26 02:34:03,38.0608,-97.9298,50.59,98,100,9.22
278,Savalia,GR,2022-05-26 02:34:44,37.8216,21.2943,66.15,88,0,3.44
279,Kutum,SD,2022-05-26 02:34:44,14.2,24.6667,71.67,11,98,7.05
280,Kalakamati,BW,2022-05-26 02:34:45,-20.5929,27.3121,55.76,45,0,3.42
281,Piranshahr,IR,2022-05-26 02:34:45,36.701,45.1413,51.31,60,0,4.54
282,Nyurba,RU,2022-05-26 02:33:16,63.2842,118.3319,42.39,61,100,8.88
283,Canmore,CA,2022-05-26 02:34:46,51.0834,-115.3521,57.31,37,18,9.22
284,Ivanava,BY,2022-05-26 02:34:46,52.1451,25.5365,48.36,96,76,12.97
285,Varhaug,NO,2022-05-26 02:34:46,58.6147,5.6457,49.89,90,66,19.01
286,Morehead,US,2022-05-26 02:34:47,37.2711,-87.1764,69.94,86,0,9.22
287,Maniitsoq,GL,2022-05-26 02:34:47,65.4167,-52.9,32.52,63,41,13.73
288,Charleston,US,2022-05-26 02:34:24,32.7766,-79.9309,76.01,90,100,10.36
289,Anshun,CN,2022-05-26 02:34:48,26.25,105.9333,65.25,95,100,4.72
290,Orange Cove,US,2022-05-26 02:34:49,36.6244,-119.3137,98.26,11,32,3.98
291,Pringsewu,ID,2022-05-26 02:34:49,-5.3582,104.9744,77.0,90,100,2.62
292,Salur,IN,2022-05-26 02:34:49,18.5333,83.2167,93.24,41,3,1.48
293,Upernavik,GL,2022-05-26 02:34:50,72.7868,-56.1549,24.35,61,99,7.94
