City_ID,City,Country,Current Description,Max Temp,Lat,Lng,Hotel Name
488,Maralal,KE,broken clouds,61.09,1.0968,36.698,Ngari Hill Ecolodge
489,Surt,LY,clear sky,78.67,31.2089,16.5887,الهادي ابوشعاله سرت
493,Mayo,US,clear sky,73.08,38.8876,-76.5119,Resorts Resource Group International
494,Buy,RU,scattered clouds,68.25,58.4786,41.53,Hotel Variant C
498,Desbiens,CA,broken clouds,63.25,48.4178,-71.9495,Motel Lac St-Jean Inc
499,Sechura,PE,scattered clouds,62.11,-5.5569,-80.8222,Hospedaje Costa Bella
503,Hailar,CN,overcast clouds,73.26,49.2,119.7,Holiday Inn & Suites Hulunbuir
504,Monroe,US,few clouds,67.51,43.1501,-77.6831,Rodeway Inn Rochester Airport
508,Lazaro Cardenas,MX,broken clouds,79.72,17.9583,-102.2,HOTEL QUINTA ANTIGUA
509,Totness,SR,broken clouds,76.51,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
511,Leh,IN,clear sky,69.24,34.1667,77.5833,Hotel Ladakh Greens
512,Torrelavega,ES,clear sky,71.8,43.3494,-4.0479,Hotel Torresport Spa
513,Urdoma,RU,overcast clouds,78.85,61.7533,48.5442,Vikonda
514,Katsuura,JP,overcast clouds,77.07,35.1333,140.3,Katsuura Hotel Mikazuki
516,Bereda,ES,scattered clouds,67.41,43.2686,-7.5406,Pazo de Verdes
517,Piacabucu,BR,scattered clouds,73.04,-10.4056,-36.4344,Piaçabuçu News
519,Bandrele,YT,scattered clouds,78.55,-12.9067,45.1914,Les Baobabs
521,Grand-Lahou,CI,overcast clouds,75.24,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
523,Koungou,YT,scattered clouds,78.51,-12.7336,45.2042,Villa Netibor
524,Peniche,PT,overcast clouds,75.45,39.3558,-9.3811,Hotel Star inn Peniche
526,Khani,GE,scattered clouds,62.17,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
530,Mbuji-Mayi,CD,scattered clouds,73.2,-6.15,23.6,HOTEL METROPOLE DU KASAI
535,Wladyslawowo,PL,scattered clouds,67.93,54.7909,18.4009,Gwiazda Morza Resort SPA&SPORT
537,Nyrob,RU,few clouds,79.83,60.733,56.7202,Gostinitsa
540,Westport,US,overcast clouds,78.62,41.1415,-73.3579,The Westport Inn
543,Daru,PG,overcast clouds,79.14,-9.0763,143.2092,Daru Lodge
546,Ughelli,NG,overcast clouds,73.65,5.4899,6.0074,Prestige Hotel
547,Peruibe,BR,overcast clouds,63.1,-24.32,-46.9983,Hotel Pousada Xapuri
551,Roald,NO,broken clouds,61.16,62.5833,6.1333,Flem Cabins
553,Merrill,US,broken clouds,60.58,45.1805,-89.6835,Prairie Motel
556,Angoche,MZ,clear sky,76.57,-16.2325,39.9086,Guest House HESADA
557,Russell,US,overcast clouds,75.0,32.3502,-85.1999,Macs
558,Tarko-Sale,RU,clear sky,63.55,64.9225,77.785,Yubileynaya
560,Lasa,IT,clear sky,61.7,46.6166,10.7002,Pension Feldgärtenhof
562,Casablanca,MA,clear sky,71.82,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
568,Tripoli,LY,clear sky,77.43,32.8752,13.1875,Al Waddan Hotel
581,Safranbolu,TR,broken clouds,65.73,41.2508,32.6942,GuleviSafranbolu Hotel
586,Arkansas City,US,clear sky,72.63,37.062,-97.0384,Super 8 by Wyndham Arkansas City KS
588,Touros,BR,clear sky,73.98,-5.1989,-35.4608,INN NEW HORIZON
590,Pitimbu,BR,few clouds,72.19,-7.4706,-34.8086,Reserva do Abiaí
591,Penzance,GB,broken clouds,65.08,50.1186,-5.5371,Artist Residence Penzance
593,Hickory,US,broken clouds,76.33,35.7332,-81.3412,"Crowne Plaza Hickory, an IHG Hotel"
594,Moravsky Beroun,CZ,few clouds,61.48,49.7937,17.4421,Rekreační areál Rio Star / Letní tábor TAPAZA
595,Lynchburg,US,few clouds,72.93,37.4138,-79.1423,Econo Lodge
596,Hostotipaquillo,MX,broken clouds,66.25,21.0667,-104.0667,Departamento Luna
598,Botwood,CA,overcast clouds,62.91,49.1499,-55.3482,Exploits Inn & Suites
599,Oxelosund,SE,clear sky,64.78,58.6706,17.1015,Stjärnholms Slott
